<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ATVI-RM,60,20200824,230000,6167.0000000,6200.0000000,6167.0000000,6200.0000000,6
ATVI-RM,60,20200825,000000,6228.0000000,6239.0000000,6228.0000000,6233.0000000,52
ATVI-RM,60,20200825,110000,6109.0000000,6243.0000000,6109.0000000,6238.0000000,94
ATVI-RM,60,20200825,120000,6242.0000000,6245.0000000,6220.0000000,6243.0000000,80
ATVI-RM,60,20200825,130000,6232.0000000,6239.0000000,6218.0000000,6220.0000000,56
ATVI-RM,60,20200825,140000,6220.0000000,6220.0000000,6173.0000000,6200.0000000,83
ATVI-RM,60,20200825,150000,6224.0000000,6242.0000000,6220.0000000,6221.0000000,75
ATVI-RM,60,20200825,160000,6220.0000000,6233.0000000,6186.0000000,6216.0000000,92
ATVI-RM,60,20200825,170000,6209.0000000,6225.0000000,6178.0000000,6212.0000000,45
ATVI-RM,60,20200825,180000,6208.0000000,6257.0000000,6208.0000000,6252.0000000,19
ATVI-RM,60,20200825,190000,6250.0000000,6280.0000000,6245.0000000,6280.0000000,93
ATVI-RM,60,20200825,200000,6278.0000000,6328.0000000,6278.0000000,6324.0000000,10
ATVI-RM,60,20200825,210000,6319.0000000,6319.0000000,6302.0000000,6305.0000000,169
ATVI-RM,60,20200825,220000,6300.0000000,6322.0000000,6300.0000000,6306.0000000,19
ATVI-RM,60,20200825,230000,6306.0000000,6309.0000000,6306.0000000,6309.0000000,18
ATVI-RM,60,20200826,000000,6305.0000000,6305.0000000,6305.0000000,6305.0000000,10
ATVI-RM,60,20200826,110000,6347.0000000,6358.0000000,6307.0000000,6356.0000000,172
ATVI-RM,60,20200826,120000,6362.0000000,6374.0000000,6350.0000000,6364.0000000,200
ATVI-RM,60,20200826,130000,6361.0000000,6388.0000000,6358.0000000,6388.0000000,56
ATVI-RM,60,20200826,140000,6391.0000000,6398.0000000,6380.0000000,6380.0000000,63
ATVI-RM,60,20200826,150000,6380.0000000,6389.0000000,6375.0000000,6378.0000000,120
ATVI-RM,60,20200826,160000,6373.0000000,6386.0000000,6373.0000000,6373.0000000,56
ATVI-RM,60,20200826,170000,6373.0000000,6392.0000000,6370.0000000,6382.0000000,107
ATVI-RM,60,20200826,180000,6381.0000000,6417.0000000,6365.0000000,6417.0000000,289
ATVI-RM,60,20200826,190000,6411.0000000,6426.0000000,6380.0000000,6426.0000000,153
ATVI-RM,60,20200826,200000,6428.0000000,6435.0000000,6415.0000000,6415.0000000,49
