<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MAIL,60,20200702,110000,1792.0000000,1792.0000000,1610.0000000,1704.4000000,144834
MAIL,60,20200702,120000,1704.4000000,1710.4000000,1697.0000000,1704.6000000,35390
MAIL,60,20200702,130000,1704.6000000,1707.2000000,1672.2000000,1678.0000000,32198
MAIL,60,20200702,140000,1677.8000000,1689.0000000,1673.6000000,1681.6000000,15890
MAIL,60,20200702,150000,1684.6000000,1691.4000000,1660.0000000,1662.4000000,29531
MAIL,60,20200702,160000,1662.4000000,1671.4000000,1651.2000000,1652.0000000,20271
MAIL,60,20200702,170000,1652.6000000,1666.0000000,1650.6000000,1665.0000000,13436
MAIL,60,20200702,180000,1665.0000000,1668.6000000,1657.0000000,1658.8000000,9679
MAIL,60,20200702,190000,1659.0000000,1668.0000000,1656.0000000,1666.0000000,6134
MAIL,60,20200703,110000,1682.0000000,1689.8000000,1665.0000000,1678.2000000,24255
MAIL,60,20200703,120000,1678.2000000,1695.6000000,1677.8000000,1693.0000000,24448
MAIL,60,20200703,130000,1693.0000000,1717.4000000,1693.0000000,1717.2000000,40451
MAIL,60,20200703,140000,1717.2000000,1776.6000000,1713.6000000,1761.4000000,101271
MAIL,60,20200703,150000,1761.4000000,1766.0000000,1731.2000000,1739.0000000,59484
MAIL,60,20200703,160000,1739.8000000,1751.8000000,1739.0000000,1751.4000000,34590
MAIL,60,20200703,170000,1751.4000000,1752.8000000,1747.0000000,1752.0000000,33076
MAIL,60,20200703,180000,1752.4000000,1756.0000000,1749.8000000,1754.6000000,26487
MAIL,60,20200703,190000,1754.6000000,1760.0000000,1746.6000000,1754.8000000,27973
MAIL,60,20200706,110000,1803.2000000,1918.0000000,1763.8000000,1882.4000000,397137
MAIL,60,20200706,120000,1882.4000000,1892.0000000,1860.0000000,1870.2000000,161635
MAIL,60,20200706,130000,1870.0000000,1882.2000000,1866.6000000,1877.2000000,57099
MAIL,60,20200706,140000,1877.2000000,1880.0000000,1867.6000000,1874.2000000,63427
MAIL,60,20200706,150000,1874.2000000,1877.8000000,1870.4000000,1875.2000000,35953
MAIL,60,20200706,160000,1875.2000000,1875.8000000,1850.6000000,1860.2000000,56951
MAIL,60,20200706,170000,1860.2000000,1869.0000000,1840.0000000,1842.6000000,56665
